id,quantidade fatores medios
18918,7
18938,5
18936,5
18927,5
19189,4
19195,4
18917,4
19208,4
19203,4
17947,3
18946,3
18994,3
19010,3
19202,3
19174,3
19186,3
19210,2
18925,2
18923,2
19212,2
18949,2
19201,2
19176,2
19197,2
19193,2
18934,1
18920,1
18922,1
17936,1
18935,1
18171,1
18993,1
19141,1
19150,1
19152,1
19183,0
19190,0
19180,0
19194,0
19196,0
19178,0
19199,0
4734,0
19146,0
19139,0
18999,0
18930,0
18928,0
18916,0
18929,0
18931,0
18276,0
19182,0
19184,0
19185,0
18175,0
19209,0
18172,0
19211,0
17927,0
19175,0
